origin,destination,distance_km,origin_lat,origin_lon,destination_lat,destination_lon
Manzanillo Colima Mexico,Leon Guanajuato Mexico,508.8,19.264454,-103.7289144,21.122002,-101.681926
Manzanillo Colima Mexico,Los mochis Sinaloa Mexico,1135.7,19.264454,-103.7289144,25.792233,-108.991542
Manzanillo Colima Mexico,Los mochis Sinaloa Mexico,1135.7,19.264454,-103.7289144,25.792233,-108.991542
Manzanillo Colima Mexico,Matamoros Tamaulipas Mexico,1267.9,19.264454,-103.7289144,25.8810158,-97.5064866
Manzanillo Colima Mexico,Matamoros Tamaulipas Mexico,1267.9,19.264454,-103.7289144,25.8810158,-97.5064866
Manzanillo Colima Mexico,Mazatlan Sinaloa Mexico,737.9,19.264454,-103.7289144,23.198514,-106.422819
Manzanillo Colima Mexico,Mazatlan Sinaloa Mexico,737.9,19.264454,-103.7289144,23.198514,-106.422819
Manzanillo Colima Mexico,Merida Yucatan Mexico,2126.6,19.264454,-103.7289144,20.9670759,-89.6237402
Manzanillo Colima Mexico,Merida Yucatan Mexico,2126.6,19.264454,-103.7289144,20.9670759,-89.6237402
Manzanillo Colima Mexico,Mexicali Baja California Mexico,2310.5,19.264454,-103.7289144,32.641201,-115.474312
Manzanillo Colima Mexico,Mexicali Baja California Mexico,2310.5,19.264454,-103.7289144,32.641201,-115.474312
Manzanillo Colima Mexico,Monclova Coahuila Mexico,1193.9,19.264454,-103.7289144,26.901135,-101.415967
Manzanillo Colima Mexico,Monclova Coahuila Mexico,1193.9,19.264454,-103.7289144,26.901135,-101.415967
Manzanillo Colima Mexico,Monterrey Nuevo Leon Mexico,1090.9,19.264454,-103.7289144,25.680522,-100.313821
Manzanillo Colima Mexico,Monterrey Nuevo Leon Mexico,1090.9,19.264454,-103.7289144,25.680522,-100.313821
Manzanillo Colima Mexico,Ocotlan Jalisco Mexico,339.3,19.264454,-103.7289144,20.349829,-102.773862
Manzanillo Colima Mexico,Ocotlan Jalisco Mexico,339.3,19.264454,-103.7289144,20.349829,-102.773862
Manzanillo Colima Mexico,Paraíso Tabasco Mexico,1579.4,19.264454,-103.7289144,18.3623055,-93.1883587
Manzanillo Colima Mexico,Paraíso Tabasco Mexico,1579.4,19.264454,-103.7289144,18.3623055,-93.1883587
Manzanillo Colima Mexico,Piedras Negras Coahuila Mexico,1431.9,19.264454,-103.7289144,28.704596,-100.5167137
Manzanillo Colima Mexico,Piedras Negras Coahuila Mexico,1431.9,19.264454,-103.7289144,28.704596,-100.5167137
Manzanillo Colima Mexico,Puebla de Zaragoza Puebla Mexico,950.6,19.264454,-103.7289144,19.0254554,-98.2116253
Manzanillo Colima Mexico,Puebla de Zaragoza Puebla Mexico,950.6,19.264454,-103.7289144,19.0254554,-98.2116253
Manzanillo Colima Mexico,Queretaro Queretaro Mexico,629.6,19.264454,-103.7289144,20.5954708,-100.397059
Manzanillo Colima Mexico,Queretaro Queretaro Mexico,629.6,19.264454,-103.7289144,20.5954708,-100.397059
Manzanillo Colima Mexico,Ramos Arizpe Coahuila Mexico,1018.6,19.264454,-103.7289144,25.53965,-100.948589
Manzanillo Colima Mexico,Ramos Arizpe Coahuila Mexico,1018.6,19.264454,-103.7289144,25.53965,-100.948589
Manzanillo Colima Mexico,Reynosa Tamaulipas Mexico,1274.6,19.264454,-103.7289144,26.090823,-98.278851
Manzanillo Colima Mexico,Reynosa Tamaulipas Mexico,1274.6,19.264454,-103.7289144,26.090823,-98.278851
Manzanillo Colima Mexico,Rincon de Romos Aguascalientes Mexico,562.2,19.264454,-103.7289144,22.2293637,-102.3229846
Manzanillo Colima Mexico,Rincon de Romos Aguascalientes Mexico,562.2,19.264454,-103.7289144,22.2293637,-102.3229846
Manzanillo Colima Mexico,Salamanca Guanajuato Mexico,560.9,19.264454,-103.7289144,21.0242582,-101.2740392
Manzanillo Colima Mexico,Salamanca Guanajuato Mexico,560.9,19.264454,-103.7289144,21.0242582,-101.2740392
Manzanillo Colima Mexico,Saltillo Coahuila Mexico,1003.2,19.264454,-103.7289144,25.422754,-101.001917
Manzanillo Colima Mexico,Saltillo Coahuila Mexico,1003.2,19.264454,-103.7289144,25.422754,-101.001917
Manzanillo Colima Mexico,San Buenaventura Coahuila Mexico,1216.3,19.264454,-103.7289144,27.84153645,-101.9366339
Manzanillo Colima Mexico,San Buenaventura Coahuila Mexico,1216.3,19.264454,-103.7289144,27.84153645,-101.9366339
Manzanillo Colima Mexico,San Juan Del Rio Queretaro Mexico,699.7,19.264454,-103.7289144,20.577917,-100.359749
Manzanillo Colima Mexico,San Juan Del Rio Queretaro Mexico,699.7,19.264454,-103.7289144,20.577917,-100.359749
Manzanillo Colima Mexico,San Julián Jalisco Mexico,434.7,19.264454,-103.7289144,20.993872,-102.158357
Manzanillo Colima Mexico,San Julián Jalisco Mexico,434.7,19.264454,-103.7289144,20.993872,-102.158357
Manzanillo Colima Mexico,San Luis Potosí San Luis Potosí Mexico,618.7,19.264454,-103.7289144,22.1519711,-100.9570379
Manzanillo Colima Mexico,San Luis Potosí San Luis Potosí Mexico,618.7,19.264454,-103.7289144,22.1519711,-100.9570379
Manzanillo Colima Mexico,San Miguel de Allende Guanajuato Mexico,623.7,19.264454,-103.7289144,20.914451,-100.745243
Manzanillo Colima Mexico,San Miguel de Allende Guanajuato Mexico,623.7,19.264454,-103.7289144,20.914451,-100.745243
Manzanillo Colima Mexico,Silao Guanuajuato Mexico,537.7,19.264454,-103.7289144,20.943338,-101.427207
Manzanillo Colima Mexico,Silao Guanuajuato Mexico,537.7,19.264454,-103.7289144,20.943338,-101.427207
Manzanillo Colima Mexico,Tequila Jalisco Mexico,324.3,19.264454,-103.7289144,20.884563,-103.838464
Manzanillo Colima Mexico,Tequila Jalisco Mexico,324.3,19.264454,-103.7289144,20.884563,-103.838464
Manzanillo Colima Mexico,Toluca de Lerdo Estado de Mexico Mexico,754.3,19.264454,-103.7289144,19.290252,-99.657664
Manzanillo Colima Mexico,Toluca de Lerdo Estado de Mexico Mexico,754.3,19.264454,-103.7289144,19.290252,-99.657664
Manzanillo Colima Mexico,Torreon Coahuila Mexico,1024.1,19.264454,-103.7289144,25.542919,-103.411036
Manzanillo Colima Mexico,Torreon Coahuila Mexico,1024.1,19.264454,-103.7289144,25.542919,-103.411036
Manzanillo Colima Mexico,Tototlan Jalisco Mexico,352.2,19.264454,-103.7289144,20.456944,-102.738611
